,Unnamed: 0,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,Description,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,case_enquiry_id,open_dt,target_dt,closed_dt,ontime,case_status,closure_reason,case_title,subject,reason,queue,department,submittedphoto,closedphoto,location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,location_street_name,location_zipcode,source
21,1466,212071883,3126,,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,D4,171,0,10/5/21 8:00,2021,10,Tuesday,8,,HARRISON AVE,42.33511904,-71.0749171,"(42.3351190394661, -71.0749170961373)",,,,,,,,,,,,,,,,,,,,,,,,,,
22,1526,212071800,3503,,MISSING PERSON - NOT REPORTED - LOCATED,D4,273,0,10/4/21 21:44,2021,10,Monday,21,,MASSACHUSETTS AVE,42.33755715,-71.07836018,"(42.3375571460118, -71.0783601818338)",,,,,,,,,,,,,,,,,,,,,,,,,,
23,1736,212071521,423,,ASSAULT - AGGRAVATED,D4,271,0,10/3/21 21:29,2021,10,Sunday,21,,WASHINGTON ST,42.3353741,-71.0783156,"(42.3353740984913, -71.0783156023399)",,,,,,,,,,,,,,,,,,,,,,,,,,
24,1748,212071506,3005,,SICK ASSIST,D4,156,0,10/3/21 19:56,2021,10,Sunday,19,,SHAWMUT AVE,42.3380454,-71.07697786,"(42.3380453984853, -71.0769778613359)",,,,,,,,,,,,,,,,,,,,,,,,,,
25,1750,212071504,3115,,INVESTIGATE PERSON,D4,271,0,10/3/21 20:29,2021,10,Sunday,20,,WASHINGTON ST,42.3353741,-71.0783156,"(42.3353740984913, -71.0783156023399)",,,,,,,,,,,,,,,,,,,,,,,,,,
26,1860,212071370,3115,,INVESTIGATE PERSON,D4,155,0,10/3/21 10:47,2021,10,Sunday,10,,W SPRINGFIELD ST,42.34041441,-71.08031699,"(42.3404144060798, -71.0803169945157)",,,,,,,,,,,,,,,,,,,,,,,,,,
27,1918,212071286,3802,,M/V ACCIDENT - PROPERTY DAMAGE,D4, ,0,10/2/21 22:16,2021,10,Saturday,22,,"NORTHAMPTON ST & COLUMBUS AVE
ROXBURY  MA 02118
UN",42.34002401,-71.08252402,"(42.3400240050854, -71.0825240214147)",,,,,,,,,,,,,,,,,,,,,,,,,,
28,1964,212071220,3111,,LICENSE PREMISE VIOLATION,D4,145,0,10/2/21 20:27,2021,10,Saturday,20,,MASSACHUSETTS AVE,42.34243945,-71.0844553,"(42.3424394483042, -71.0844552992046)",,,,,,,,,,,,,,,,,,,,,,,,,,
29,2202,212070889,2647,,THREATS TO DO BODILY HARM,D4,171,0,10/1/21 18:02,2021,10,Friday,18,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)",,,,,,,,,,,,,,,,,,,,,,,,,,
30,2205,212070884,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,597,0,10/1/21 17:40,2021,10,Friday,17,,NORTHAMPTON ST,42.33943469,-71.08179765,"(42.3394346887991, -71.0817976542529)",,,,,,,,,,,,,,,,,,,,,,,,,,
31,2217,212070870,3106,,PROPERTY - ACCIDENTAL DAMAGE,D4,170,0,10/1/21 16:47,2021,10,Friday,16,,W SPRINGFIELD ST,42.33739824,-71.07682106,"(42.3373982425048, -71.076821063853)",,,,,,,,,,,,,,,,,,,,,,,,,,
32,2267,212070814,3006,,SICK/INJURED/MEDICAL - PERSON,D4,270,0,10/1/21 14:29,2021,10,Friday,14,,NORTHAMPTON ST,42.33395125,-71.07538939,"(42.3339512483938, -71.0753893882269)",,,,,,,,,,,,,,,,,,,,,,,,,,
33,2276,212070803,1832,,SICK ASSIST - DRUG RELATED ILLNESS,D4,172,0,10/1/21 13:42,2021,10,Friday,13,,MASSACHUSETTS AVE,42.33339068,-71.07312006,"(42.3333906804307, -71.0731200598803)",,,,,,,,,,,,,,,,,,,,,,,,,,
34,2357,212070700,3802,,M/V ACCIDENT - PROPERTY DAMAGE,D4, ,0,10/1/21 9:12,2021,10,Friday,9,,"HARRISON AVE & NORTHAMPTON ST
ROXBURY  MA 02118
UN",42.33444896,-71.07574199,"(42.3344489567874, -71.0757419942735)",,,,,,,,,,,,,,,,,,,,,,,,,,
35,2393,212070649,3502,,MISSING PERSON - LOCATED,D4,273,0,9/30/21 20:50,2021,9,Thursday,20,,MASSACHUSETTS AVE,42.33755715,-71.07836018,"(42.3375571460118, -71.0783601818338)",,,,,,,,,,,,,,,,,,,,,,,,,,
36,2457,212070567,617,,LARCENY THEFT FROM BUILDING,D4,594,0,9/17/21 0:00,2021,9,Friday,0,,MASSACHUSETTS AVE,42.34243945,-71.0844553,"(42.3424394483042, -71.0844552992046)",,,,,,,,,,,,,,,,,,,,,,,,,,
37,2461,212070563,613,,LARCENY SHOPLIFTING,D4,594,0,9/30/21 17:06,2021,9,Thursday,17,,MASSACHUSETTS AVE,42.34243945,-71.0844553,"(42.3424394483042, -71.0844552992046)",,,,,,,,,,,,,,,,,,,,,,,,,,
38,2608,212070373,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4, ,0,9/29/21 23:11,2021,9,Wednesday,23,,"MASSACHUSETTS AVE & WASHINGTON ST
BOSTON  MA 02118",42.33645001,-71.07702795,"(42.3364500076483, -71.077027948585)",,,,,,,,,,,,,,,,,,,,,,,,,,
39,2629,212070339,3006,,SICK/INJURED/MEDICAL - PERSON,D4,170,0,9/29/21 0:00,2021,9,Wednesday,0,,WASHINGTON ST,42.33721215,-71.07597603,"(42.3372121541099, -71.0759760325963)",,,,,,,,,,,,,,,,,,,,,,,,,,
40,2680,212070270,3005,,SICK ASSIST,D4,271,0,9/29/21 16:38,2021,9,Wednesday,16,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)",,,,,,,,,,,,,,,,,,,,,,,,,,
41,2693,212070252,619,,LARCENY ALL OTHERS,D4,156,0,9/29/21 11:30,2021,9,Wednesday,11,,MASSACHUSETTS AVE,42.33760719,-71.0782582,"(42.3376071908456, -71.0782582009363)",,,,,,,,,,,,,,,,,,,,,,,,,,
42,2694,212070251,3830,,M/V - LEAVING SCENE - PERSONAL INJURY,D4,271,0,9/29/21 15:34,2021,9,Wednesday,15,,HARRISON AVE,42.33455374,-71.07560801,"(42.3345537359391, -71.0756080127524)",,,,,,,,,,,,,,,,,,,,,,,,,,
43,2816,212070082,423,,ASSAULT - AGGRAVATED,D4, ,0,9/28/21 23:33,2021,9,Tuesday,23,,"MASSACHUSETTS AVE & ALBANY ST
BOSTON  MA 02118
UNI",42.333606,-71.07338005,"(42.333606002892, -71.0733800542936)",,,,,,,,,,,,,,,,,,,,,,,,,,
44,2830,212070062,617,,LARCENY THEFT FROM BUILDING,D4,172,0,9/28/21 18:30,2021,9,Tuesday,18,,MASSACHUSETTS AVE,42.33311189,-71.0727637,"(42.3331118903074, -71.0727636993273)",,,,,,,,,,,,,,,,,,,,,,,,,,
45,2941,212069904,3006,,SICK/INJURED/MEDICAL - PERSON,D4,270,0,9/28/21 12:36,2021,9,Tuesday,12,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)",,,,,,,,,,,,,,,,,,,,,,,,,,
46,2996,212069834,2647,,THREATS TO DO BODILY HARM,D4,271,0,9/28/21 9:09,2021,9,Tuesday,9,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)",,,,,,,,,,,,,,,,,,,,,,,,,,
47,3010,212069812,3005,,SICK ASSIST,D4,156,0,9/28/21 3:02,2021,9,Tuesday,3,,MASSACHUSETTS AVE,42.33760719,-71.0782582,"(42.3376071908456, -71.0782582009363)",,,,,,,,,,,,,,,,,,,,,,,,,,
48,3043,212069764,2647,,THREATS TO DO BODILY HARM,D4,270,0,9/27/21 21:02,2021,9,Monday,21,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)",,,,,,,,,,,,,,,,,,,,,,,,,,
49,3149,212069620,3001,,DEATH INVESTIGATION,D4,270,0,9/27/21 14:10,2021,9,Monday,14,,HARRISON AVE,42.33455374,-71.07560801,"(42.3345537359391, -71.0756080127524)",,,,,,,,,,,,,,,,,,,,,,,,,,
50,3185,212069576,3115,,INVESTIGATE PERSON,D4,270,0,9/27/21 11:31,2021,9,Monday,11,,MASSACHUSETTS AVE,42.33421942,-71.07434616,"(42.3342194178955, -71.0743461570786)",,,,,,,,,,,,,,,,,,,,,,,,,,
51,3326,212069377,1109,,FRAUD - WIRE,D4,594,0,9/26/21 16:41,2021,9,Sunday,16,,SAINT BOTOLPH ST,42.3414751,-71.08495034,"(42.3414751010219, -71.084950340075)",,,,,,,,,,,,,,,,,,,,,,,,,,
52,3379,212069305,706,,AUTO THEFT - MOTORCYCLE / SCOOTER,D4,272,0,9/26/21 13:35,2021,9,Sunday,13,,NEWCOMB ST,42.33418175,-71.07866441,"(42.3341817496389, -71.078664414317)",,,,,,,,,,,,,,,,,,,,,,,,,,
53,3389,212069290,1109,,FRAUD - WIRE,D4,270,0,9/26/21 11:33,2021,9,Sunday,11,,NORTHAMPTON ST,42.33395125,-71.07538939,"(42.3339512483938, -71.0753893882269)",,,,,,,,,,,,,,,,,,,,,,,,,,
54,3405,212069265,3410,,TOWED MOTOR VEHICLE,D4,271,0,9/26/21 8:47,2021,9,Sunday,8,,MASSACHUSETTS AVE,42.335482,-71.07586449,"(42.3354820018339, -71.0758644934091)",,,,,,,,,,,,,,,,,,,,,,,,,,
55,3601,212068997,1402,,VANDALISM,D4,145,0,9/25/21 9:43,2021,9,Saturday,9,,MASSACHUSETTS AVE,42.34243945,-71.0844553,"(42.3424394483042, -71.0844552992046)",,,,,,,,,,,,,,,,,,,,,,,,,,
56,3672,212068901,3803,,M/V ACCIDENT - PERSONAL INJURY,D4, ,0,9/24/21 22:30,2021,9,Friday,22,,"NORTHAMPTON ST & WASHINGTON ST
ROXBURY  MA 02118
U",42.33598899,-71.07764698,"(42.3359889921815, -71.0776469761395)",,,,,,,,,,,,,,,,,,,,,,,,,,
57,3678,212068887,2907,,VAL - OPERATING AFTER REV/SUSP.,D4,271,0,9/24/21 19:55,2021,9,Friday,19,,"HARRISON AVE & MASSACHUSETTS AVE
BOSTON  MA 02118
",42.33490996,-71.07517005,"(42.3349099560838, -71.0751700489333)",,,,,,,,,,,,,,,,,,,,,,,,,,
58,3683,212068882,3115,,INVESTIGATE PERSON,D4, ,0,9/24/21 20:49,2021,9,Friday,20,,MASSACHUSETTS AVE,42.33421942,-71.07434616,"(42.3342194178955, -71.0743461570786)",,,,,,,,,,,,,,,,,,,,,,,,,,
59,3752,212068787,3114,,INVESTIGATE PROPERTY,D4,170,0,9/24/21 0:00,2021,9,Friday,0,,WASHINGTON ST,42.33675015,-71.07662788,"(42.3367501542294, -71.0766278793634)",,,,,,,,,,,,,,,,,,,,,,,,,,
60,3765,212068772,301,,ROBBERY,D4, ,0,9/24/21 15:30,2021,9,Friday,15,,"SHAWMUT AVE & COMET PL
ROXBURY  MA 02118
UNITED ST",42.33712201,-71.07835803,"(42.3371220112564, -71.0783580309786)",,,,,,,,,,,,,,,,,,,,,,,,,,
61,3853,212068657,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4, ,0,9/23/21 19:00,2021,9,Thursday,19,,"MASSACHUSETTS AVE & WASHINGTON ST
BOSTON  MA 02118",42.33645001,-71.07702795,"(42.3364500076483, -71.077027948585)",,,,,,,,,,,,,,,,,,,,,,,,,,
62,3910,212068574,617,,LARCENY THEFT FROM BUILDING,D4,273,0,9/23/21 21:20,2021,9,Thursday,21,,WASHINGTON ST,42.33543509,-71.07840204,"(42.3354350942456, -71.0784020363859)",,,,,,,,,,,,,,,,,,,,,,,,,,
63,3990,212068470,3005,,SICK ASSIST,D4,156,0,9/23/21 15:34,2021,9,Thursday,15,,W CONCORD ST,42.33961962,-71.07699237,"(42.3396196180069, -71.0769923673942)",,,,,,,,,,,,,,,,,,,,,,,,,,
64,4046,212068393,3005,,SICK ASSIST,D4, ,0,9/23/21 11:06,2021,9,Thursday,11,,"SAINT BOTOLPH ST & MASSACHUSETTS AVE
BOSTON  MA 02",42.34218797,-71.084071,"(42.3421879736807, -71.0840709977025)",,,,,,,,,,,,,,,,,,,,,,,,,,
65,4132,212068264,3006,,SICK/INJURED/MEDICAL - PERSON,D4, ,0,9/22/21 19:08,2021,9,Wednesday,19,,"SHAWMUT AVE & MASSACHUSETTS AVE
BOSTON  MA 02118
U",42.33733299,-71.07807401,"(42.3373329884238, -71.07807400722)",,,,,,,,,,,,,,,,,,,,,,,,,,
66,4149,212068241,3005,,SICK ASSIST,D4,273,0,9/22/21 19:08,2021,9,Wednesday,19,,MASSACHUSETTS AVE,42.33755715,-71.07836018,"(42.3375571460118, -71.0783601818338)",,,,,,,,,,,,,,,,,,,,,,,,,,
67,4201,212068172,3115,,INVESTIGATE PERSON,D4,271,0,9/22/21 16:10,2021,9,Wednesday,16,,WASHINGTON ST,42.3353741,-71.0783156,"(42.3353740984913, -71.0783156023399)",,,,,,,,,,,,,,,,,,,,,,,,,,
68,4223,212068141,3115,,INVESTIGATE PERSON,D4,270,0,9/22/21 14:22,2021,9,Wednesday,14,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)",,,,,,,,,,,,,,,,,,,,,,,,,,
69,4298,212068044,613,,LARCENY SHOPLIFTING,D4,270,0,9/22/21 7:35,2021,9,Wednesday,7,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)",,,,,,,,,,,,,,,,,,,,,,,,,,
70,4376,212067937,3115,,INVESTIGATE PERSON,D4,270,0,9/21/21 19:47,2021,9,Tuesday,19,,NORTHAMPTON ST,42.33395125,-71.07538939,"(42.3339512483938, -71.0753893882269)",,,,,,,,,,,,,,,,,,,,,,,,,,
71,4401,212067901,3005,,SICK ASSIST,D4, ,0,9/21/21 17:42,2021,9,Tuesday,17,,"MASSACHUSETTS AVE & HARRISON AVE
BOSTON  MA 02118
",42.33493701,-71.07515701,"(42.3349370067414, -71.0751570050041)",,,,,,,,,,,,,,,,,,,,,,,,,,
72,4422,212067870,3005,,SICK ASSIST,D4,156,0,9/21/21 15:45,2021,9,Tuesday,15,,MASSACHUSETTS AVE,42.33760719,-71.0782582,"(42.3376071908456, -71.0782582009363)",,,,,,,,,,,,,,,,,,,,,,,,,,
73,4426,212067865,3201,,PROPERTY - LOST/ MISSING,D4, ,0,9/17/21 22:00,2021,9,Friday,22,,"MASSACHUSETTS AVE & ALBANY ST
BOSTON  MA 02118
UNI",42.333606,-71.07338005,"(42.333606002892, -71.0733800542936)",,,,,,,,,,,,,,,,,,,,,,,,,,
74,4452,212067833,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,271,0,9/21/21 13:28,2021,9,Tuesday,13,,HARRISON AVE,42.33455374,-71.07560801,"(42.3345537359391, -71.0756080127524)",,,,,,,,,,,,,,,,,,,,,,,,,,
75,4462,212067819,423,,ASSAULT - AGGRAVATED,D4,171,0,9/21/21 11:45,2021,9,Tuesday,11,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)",,,,,,,,,,,,,,,,,,,,,,,,,,
76,4517,212067743,616,,LARCENY THEFT OF BICYCLE,D4,156,0,9/21/21 7:10,2021,9,Tuesday,7,,WORCESTER ST,42.33898333,-71.07748706,"(42.3389833286566, -71.077487061677)",,,,,,,,,,,,,,,,,,,,,,,,,,
77,4538,212067709,3114,,INVESTIGATE PROPERTY,D4,284,0,9/20/21 22:00,2021,9,Monday,22,,NORTHAMPTON ST,42.34055752,-71.08337167,"(42.3405575236167, -71.0833716675016)",,,,,,,,,,,,,,,,,,,,,,,,,,
78,4542,212067706,3805,,M/V ACCIDENT - POLICE VEHICLE,D4,270,0,9/20/21 22:13,2021,9,Monday,22,,HARRISON AVE,42.33455374,-71.07560801,"(42.3345537359391, -71.0756080127524)",,,,,,,,,,,,,,,,,,,,,,,,,,
79,4561,212067683,423,,ASSAULT - AGGRAVATED,E18,531,0,9/20/21 19:45,2021,9,Monday,19,,ALBEMARLE CT,42.34239153,-71.08279924,"(42.3423915253484, -71.0827992408472)",,,,,,,,,,,,,,,,,,,,,,,,,,
80,4593,212067641,3115,,INVESTIGATE PERSON,D4, ,0,9/20/21 18:29,2021,9,Monday,18,,"MASSACHUSETTS AVE & ALBANY ST
BOSTON  MA 02118
UNI",42.333606,-71.07338005,"(42.333606002892, -71.0733800542936)",,,,,,,,,,,,,,,,,,,,,,,,,,
81,4758,212067429,423,,ASSAULT - AGGRAVATED,D4,171,0,9/20/21 1:53,2021,9,Monday,1,,HARRISON AVE,42.33555954,-71.07436364,"(42.3355595408121, -71.0743636377437)",,,,,,,,,,,,,,,,,,,,,,,,,,
82,4785,212067393,301,,ROBBERY,D4,597,0,9/19/21 21:22,2021,9,Sunday,21,,COLUMBUS AVE,42.34012547,-71.0822333,"(42.3401254748945, -71.0822333014305)",,,,,,,,,,,,,,,,,,,,,,,,,,
83,4835,212067321,1402,,VANDALISM,D4,170,0,9/19/21 17:07,2021,9,Sunday,17,,W SPRINGFIELD ST,42.33739824,-71.07682106,"(42.3373982425048, -71.076821063853)",,,,,,,,,,,,,,,,,,,,,,,,,,
84,4998,212067105,423,,ASSAULT - AGGRAVATED,D4,171,0,9/18/21 19:48,2021,9,Saturday,19,,HARRISON AVE,42.33555954,-71.07436364,"(42.3355595408121, -71.0743636377437)",,,,,,,,,,,,,,,,,,,,,,,,,,
85,5068,212067010,613,,LARCENY SHOPLIFTING,D4,170,0,9/18/21 14:21,2021,9,Saturday,14,,HARRISON AVE,42.33622726,-71.07353143,"(42.3362272597612, -71.0735314298093)",,,,,,,,,,,,,,,,,,,,,,,,,,
86,5097,212066968,3820,,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,D4, ,0,9/18/21 11:34,2021,9,Saturday,11,,"ALBANY ST & MASSACHUSETTS AVE
BOSTON  MA 02118
UNI",42.33349998,-71.07351,"(42.3334999801716, -71.0735099961732)",,,,,,,,,,,,,,,,,,,,,,,,,,
87,5186,212066840,423,,ASSAULT - AGGRAVATED,D4,171,0,9/17/21 20:43,2021,9,Friday,20,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)",,,,,,,,,,,,,,,,,,,,,,,,,,
88,5200,212066821,3410,,TOWED MOTOR VEHICLE,D4,147,0,9/17/21 19:45,2021,9,Friday,19,,CLAREMONT PARK,42.34210486,-71.08118057,"(42.3421048634178, -71.081180565596)",,,,,,,,,,,,,,,,,,,,,,,,,,
89,5205,212066815,3115,,INVESTIGATE PERSON,D4,156,0,9/17/21 18:55,2021,9,Friday,18,,MASSACHUSETTS AVE,42.33903373,-71.07997272,"(42.3390337336064, -71.0799727249646)",,,,,,,,,,,,,,,,,,,,,,,,,,
90,5233,212066772,2905,,VAL - VIOLATION OF AUTO LAW,D4,156,0,9/17/21 17:18,2021,9,Friday,17,,TREMONT ST,42.33945339,-71.07992484,"(42.3394533925537, -71.0799248357064)",,,,,,,,,,,,,,,,,,,,,,,,,,
91,5284,212066701,3115,,INVESTIGATE PERSON,D4,594,0,9/17/21 13:16,2021,9,Friday,13,,MASSACHUSETTS AVE,42.34186952,-71.0837219,"(42.3418695197559, -71.0837219015865)",,,,,,,,,,,,,,,,,,,,,,,,,,
92,5330,212066643,3126,,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,D4, ,0,9/17/21 10:57,2021,9,Friday,10,,"MASSACHUSETTS AVE & ALBANY ST
BOSTON  MA 02118
UNI",42.333606,-71.07338005,"(42.333606002892, -71.0733800542936)",,,,,,,,,,,,,,,,,,,,,,,,,,
93,5444,212066488,3115,,INVESTIGATE PERSON,D4,597,0,9/16/21 18:00,2021,9,Thursday,18,,NORTHAMPTON ST,42.33943469,-71.08179765,"(42.3394346887991, -71.0817976542529)",,,,,,,,,,,,,,,,,,,,,,,,,,
94,5544,212066365,3001,,DEATH INVESTIGATION,D4,145,0,9/16/21 12:20,2021,9,Thursday,12,,MASSACHUSETTS AVE,42.34243945,-71.0844553,"(42.3424394483042, -71.0844552992046)",,,,,,,,,,,,,,,,,,,,,,,,,,
95,5631,212066243,617,,LARCENY THEFT FROM BUILDING,D4,170,0,9/15/21 20:00,2021,9,Wednesday,20,,WASHINGTON ST,42.33721215,-71.07597603,"(42.3372121541099, -71.0759760325963)",,,,,,,,,,,,,,,,,,,,,,,,,,
96,5780,212066049,3126,,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,D4,270,0,9/15/21 11:48,2021,9,Wednesday,11,,MASSACHUSETTS AVE,42.33421942,-71.07434616,"(42.3342194178955, -71.0743461570786)",,,,,,,,,,,,,,,,,,,,,,,,,,
97,5786,212066040,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4,170,0,9/15/21 10:58,2021,9,Wednesday,10,,MASSACHUSETTS AVE,42.336955,-71.07747,"(42.3369550014342, -71.0774699961799)",,,,,,,,,,,,,,,,,,,,,,,,,,
98,5827,212065992,423,,ASSAULT - AGGRAVATED,D4,594,0,9/15/21 8:50,2021,9,Wednesday,8,,MASSACHUSETTS AVE,42.34186952,-71.0837219,"(42.3418695197559, -71.0837219015865)",,,,,,,,,,,,,,,,,,,,,,,,,,
