,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
1736,212071521,423,,ASSAULT - AGGRAVATED,D4,271,0,10/3/21 21:29,2021,10,Sunday,21,,WASHINGTON ST,42.3353741,-71.0783156,"(42.3353740984913, -71.0783156023399)"
1748,212071506,3005,,SICK ASSIST,D4,156,0,10/3/21 19:56,2021,10,Sunday,19,,SHAWMUT AVE,42.3380454,-71.07697786,"(42.3380453984853, -71.0769778613359)"
1750,212071504,3115,,INVESTIGATE PERSON,D4,271,0,10/3/21 20:29,2021,10,Sunday,20,,WASHINGTON ST,42.3353741,-71.0783156,"(42.3353740984913, -71.0783156023399)"
1860,212071370,3115,,INVESTIGATE PERSON,D4,155,0,10/3/21 10:47,2021,10,Sunday,10,,W SPRINGFIELD ST,42.34041441,-71.08031699,"(42.3404144060798, -71.0803169945157)"
1918,212071286,3802,,M/V ACCIDENT - PROPERTY DAMAGE,D4, ,0,10/2/21 22:16,2021,10,Saturday,22,,"NORTHAMPTON ST & COLUMBUS AVE
ROXBURY  MA 02118
UN",42.34002401,-71.08252402,"(42.3400240050854, -71.0825240214147)"
1964,212071220,3111,,LICENSE PREMISE VIOLATION,D4,145,0,10/2/21 20:27,2021,10,Saturday,20,,MASSACHUSETTS AVE,42.34243945,-71.0844553,"(42.3424394483042, -71.0844552992046)"
2202,212070889,2647,,THREATS TO DO BODILY HARM,D4,171,0,10/1/21 18:02,2021,10,Friday,18,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)"
2205,212070884,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,597,0,10/1/21 17:40,2021,10,Friday,17,,NORTHAMPTON ST,42.33943469,-71.08179765,"(42.3394346887991, -71.0817976542529)"
2217,212070870,3106,,PROPERTY - ACCIDENTAL DAMAGE,D4,170,0,10/1/21 16:47,2021,10,Friday,16,,W SPRINGFIELD ST,42.33739824,-71.07682106,"(42.3373982425048, -71.076821063853)"
2267,212070814,3006,,SICK/INJURED/MEDICAL - PERSON,D4,270,0,10/1/21 14:29,2021,10,Friday,14,,NORTHAMPTON ST,42.33395125,-71.07538939,"(42.3339512483938, -71.0753893882269)"
2276,212070803,1832,,SICK ASSIST - DRUG RELATED ILLNESS,D4,172,0,10/1/21 13:42,2021,10,Friday,13,,MASSACHUSETTS AVE,42.33339068,-71.07312006,"(42.3333906804307, -71.0731200598803)"
2357,212070700,3802,,M/V ACCIDENT - PROPERTY DAMAGE,D4, ,0,10/1/21 9:12,2021,10,Friday,9,,"HARRISON AVE & NORTHAMPTON ST
ROXBURY  MA 02118
UN",42.33444896,-71.07574199,"(42.3344489567874, -71.0757419942735)"
2393,212070649,3502,,MISSING PERSON - LOCATED,D4,273,0,9/30/21 20:50,2021,9,Thursday,20,,MASSACHUSETTS AVE,42.33755715,-71.07836018,"(42.3375571460118, -71.0783601818338)"
2457,212070567,617,,LARCENY THEFT FROM BUILDING,D4,594,0,9/17/21 0:00,2021,9,Friday,0,,MASSACHUSETTS AVE,42.34243945,-71.0844553,"(42.3424394483042, -71.0844552992046)"
2461,212070563,613,,LARCENY SHOPLIFTING,D4,594,0,9/30/21 17:06,2021,9,Thursday,17,,MASSACHUSETTS AVE,42.34243945,-71.0844553,"(42.3424394483042, -71.0844552992046)"
2608,212070373,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4, ,0,9/29/21 23:11,2021,9,Wednesday,23,,"MASSACHUSETTS AVE & WASHINGTON ST
BOSTON  MA 02118",42.33645001,-71.07702795,"(42.3364500076483, -71.077027948585)"
2629,212070339,3006,,SICK/INJURED/MEDICAL - PERSON,D4,170,0,9/29/21 0:00,2021,9,Wednesday,0,,WASHINGTON ST,42.33721215,-71.07597603,"(42.3372121541099, -71.0759760325963)"
2680,212070270,3005,,SICK ASSIST,D4,271,0,9/29/21 16:38,2021,9,Wednesday,16,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)"
2693,212070252,619,,LARCENY ALL OTHERS,D4,156,0,9/29/21 11:30,2021,9,Wednesday,11,,MASSACHUSETTS AVE,42.33760719,-71.0782582,"(42.3376071908456, -71.0782582009363)"
2694,212070251,3830,,M/V - LEAVING SCENE - PERSONAL INJURY,D4,271,0,9/29/21 15:34,2021,9,Wednesday,15,,HARRISON AVE,42.33455374,-71.07560801,"(42.3345537359391, -71.0756080127524)"
2816,212070082,423,,ASSAULT - AGGRAVATED,D4, ,0,9/28/21 23:33,2021,9,Tuesday,23,,"MASSACHUSETTS AVE & ALBANY ST
BOSTON  MA 02118
UNI",42.333606,-71.07338005,"(42.333606002892, -71.0733800542936)"
2830,212070062,617,,LARCENY THEFT FROM BUILDING,D4,172,0,9/28/21 18:30,2021,9,Tuesday,18,,MASSACHUSETTS AVE,42.33311189,-71.0727637,"(42.3331118903074, -71.0727636993273)"
2941,212069904,3006,,SICK/INJURED/MEDICAL - PERSON,D4,270,0,9/28/21 12:36,2021,9,Tuesday,12,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)"
2996,212069834,2647,,THREATS TO DO BODILY HARM,D4,271,0,9/28/21 9:09,2021,9,Tuesday,9,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)"
3010,212069812,3005,,SICK ASSIST,D4,156,0,9/28/21 3:02,2021,9,Tuesday,3,,MASSACHUSETTS AVE,42.33760719,-71.0782582,"(42.3376071908456, -71.0782582009363)"
3043,212069764,2647,,THREATS TO DO BODILY HARM,D4,270,0,9/27/21 21:02,2021,9,Monday,21,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)"
3149,212069620,3001,,DEATH INVESTIGATION,D4,270,0,9/27/21 14:10,2021,9,Monday,14,,HARRISON AVE,42.33455374,-71.07560801,"(42.3345537359391, -71.0756080127524)"
3185,212069576,3115,,INVESTIGATE PERSON,D4,270,0,9/27/21 11:31,2021,9,Monday,11,,MASSACHUSETTS AVE,42.33421942,-71.07434616,"(42.3342194178955, -71.0743461570786)"
3326,212069377,1109,,FRAUD - WIRE,D4,594,0,9/26/21 16:41,2021,9,Sunday,16,,SAINT BOTOLPH ST,42.3414751,-71.08495034,"(42.3414751010219, -71.084950340075)"
3379,212069305,706,,AUTO THEFT - MOTORCYCLE / SCOOTER,D4,272,0,9/26/21 13:35,2021,9,Sunday,13,,NEWCOMB ST,42.33418175,-71.07866441,"(42.3341817496389, -71.078664414317)"
3389,212069290,1109,,FRAUD - WIRE,D4,270,0,9/26/21 11:33,2021,9,Sunday,11,,NORTHAMPTON ST,42.33395125,-71.07538939,"(42.3339512483938, -71.0753893882269)"
3405,212069265,3410,,TOWED MOTOR VEHICLE,D4,271,0,9/26/21 8:47,2021,9,Sunday,8,,MASSACHUSETTS AVE,42.335482,-71.07586449,"(42.3354820018339, -71.0758644934091)"
3601,212068997,1402,,VANDALISM,D4,145,0,9/25/21 9:43,2021,9,Saturday,9,,MASSACHUSETTS AVE,42.34243945,-71.0844553,"(42.3424394483042, -71.0844552992046)"
3672,212068901,3803,,M/V ACCIDENT - PERSONAL INJURY,D4, ,0,9/24/21 22:30,2021,9,Friday,22,,"NORTHAMPTON ST & WASHINGTON ST
ROXBURY  MA 02118
U",42.33598899,-71.07764698,"(42.3359889921815, -71.0776469761395)"
3678,212068887,2907,,VAL - OPERATING AFTER REV/SUSP.,D4,271,0,9/24/21 19:55,2021,9,Friday,19,,"HARRISON AVE & MASSACHUSETTS AVE
BOSTON  MA 02118
",42.33490996,-71.07517005,"(42.3349099560838, -71.0751700489333)"
3683,212068882,3115,,INVESTIGATE PERSON,D4, ,0,9/24/21 20:49,2021,9,Friday,20,,MASSACHUSETTS AVE,42.33421942,-71.07434616,"(42.3342194178955, -71.0743461570786)"
3752,212068787,3114,,INVESTIGATE PROPERTY,D4,170,0,9/24/21 0:00,2021,9,Friday,0,,WASHINGTON ST,42.33675015,-71.07662788,"(42.3367501542294, -71.0766278793634)"
3765,212068772,301,,ROBBERY,D4, ,0,9/24/21 15:30,2021,9,Friday,15,,"SHAWMUT AVE & COMET PL
ROXBURY  MA 02118
UNITED ST",42.33712201,-71.07835803,"(42.3371220112564, -71.0783580309786)"
3853,212068657,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4, ,0,9/23/21 19:00,2021,9,Thursday,19,,"MASSACHUSETTS AVE & WASHINGTON ST
BOSTON  MA 02118",42.33645001,-71.07702795,"(42.3364500076483, -71.077027948585)"
3910,212068574,617,,LARCENY THEFT FROM BUILDING,D4,273,0,9/23/21 21:20,2021,9,Thursday,21,,WASHINGTON ST,42.33543509,-71.07840204,"(42.3354350942456, -71.0784020363859)"
3990,212068470,3005,,SICK ASSIST,D4,156,0,9/23/21 15:34,2021,9,Thursday,15,,W CONCORD ST,42.33961962,-71.07699237,"(42.3396196180069, -71.0769923673942)"
4046,212068393,3005,,SICK ASSIST,D4, ,0,9/23/21 11:06,2021,9,Thursday,11,,"SAINT BOTOLPH ST & MASSACHUSETTS AVE
BOSTON  MA 02",42.34218797,-71.084071,"(42.3421879736807, -71.0840709977025)"
4132,212068264,3006,,SICK/INJURED/MEDICAL - PERSON,D4, ,0,9/22/21 19:08,2021,9,Wednesday,19,,"SHAWMUT AVE & MASSACHUSETTS AVE
BOSTON  MA 02118
U",42.33733299,-71.07807401,"(42.3373329884238, -71.07807400722)"
4149,212068241,3005,,SICK ASSIST,D4,273,0,9/22/21 19:08,2021,9,Wednesday,19,,MASSACHUSETTS AVE,42.33755715,-71.07836018,"(42.3375571460118, -71.0783601818338)"
4201,212068172,3115,,INVESTIGATE PERSON,D4,271,0,9/22/21 16:10,2021,9,Wednesday,16,,WASHINGTON ST,42.3353741,-71.0783156,"(42.3353740984913, -71.0783156023399)"
4223,212068141,3115,,INVESTIGATE PERSON,D4,270,0,9/22/21 14:22,2021,9,Wednesday,14,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)"
4298,212068044,613,,LARCENY SHOPLIFTING,D4,270,0,9/22/21 7:35,2021,9,Wednesday,7,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)"
4376,212067937,3115,,INVESTIGATE PERSON,D4,270,0,9/21/21 19:47,2021,9,Tuesday,19,,NORTHAMPTON ST,42.33395125,-71.07538939,"(42.3339512483938, -71.0753893882269)"
4401,212067901,3005,,SICK ASSIST,D4, ,0,9/21/21 17:42,2021,9,Tuesday,17,,"MASSACHUSETTS AVE & HARRISON AVE
BOSTON  MA 02118
",42.33493701,-71.07515701,"(42.3349370067414, -71.0751570050041)"
4422,212067870,3005,,SICK ASSIST,D4,156,0,9/21/21 15:45,2021,9,Tuesday,15,,MASSACHUSETTS AVE,42.33760719,-71.0782582,"(42.3376071908456, -71.0782582009363)"
4426,212067865,3201,,PROPERTY - LOST/ MISSING,D4, ,0,9/17/21 22:00,2021,9,Friday,22,,"MASSACHUSETTS AVE & ALBANY ST
BOSTON  MA 02118
UNI",42.333606,-71.07338005,"(42.333606002892, -71.0733800542936)"
4452,212067833,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,271,0,9/21/21 13:28,2021,9,Tuesday,13,,HARRISON AVE,42.33455374,-71.07560801,"(42.3345537359391, -71.0756080127524)"
4462,212067819,423,,ASSAULT - AGGRAVATED,D4,171,0,9/21/21 11:45,2021,9,Tuesday,11,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)"
4517,212067743,616,,LARCENY THEFT OF BICYCLE,D4,156,0,9/21/21 7:10,2021,9,Tuesday,7,,WORCESTER ST,42.33898333,-71.07748706,"(42.3389833286566, -71.077487061677)"
4538,212067709,3114,,INVESTIGATE PROPERTY,D4,284,0,9/20/21 22:00,2021,9,Monday,22,,NORTHAMPTON ST,42.34055752,-71.08337167,"(42.3405575236167, -71.0833716675016)"
4542,212067706,3805,,M/V ACCIDENT - POLICE VEHICLE,D4,270,0,9/20/21 22:13,2021,9,Monday,22,,HARRISON AVE,42.33455374,-71.07560801,"(42.3345537359391, -71.0756080127524)"
4561,212067683,423,,ASSAULT - AGGRAVATED,E18,531,0,9/20/21 19:45,2021,9,Monday,19,,ALBEMARLE CT,42.34239153,-71.08279924,"(42.3423915253484, -71.0827992408472)"
4593,212067641,3115,,INVESTIGATE PERSON,D4, ,0,9/20/21 18:29,2021,9,Monday,18,,"MASSACHUSETTS AVE & ALBANY ST
BOSTON  MA 02118
UNI",42.333606,-71.07338005,"(42.333606002892, -71.0733800542936)"
4758,212067429,423,,ASSAULT - AGGRAVATED,D4,171,0,9/20/21 1:53,2021,9,Monday,1,,HARRISON AVE,42.33555954,-71.07436364,"(42.3355595408121, -71.0743636377437)"
4785,212067393,301,,ROBBERY,D4,597,0,9/19/21 21:22,2021,9,Sunday,21,,COLUMBUS AVE,42.34012547,-71.0822333,"(42.3401254748945, -71.0822333014305)"
4835,212067321,1402,,VANDALISM,D4,170,0,9/19/21 17:07,2021,9,Sunday,17,,W SPRINGFIELD ST,42.33739824,-71.07682106,"(42.3373982425048, -71.076821063853)"
4998,212067105,423,,ASSAULT - AGGRAVATED,D4,171,0,9/18/21 19:48,2021,9,Saturday,19,,HARRISON AVE,42.33555954,-71.07436364,"(42.3355595408121, -71.0743636377437)"
5068,212067010,613,,LARCENY SHOPLIFTING,D4,170,0,9/18/21 14:21,2021,9,Saturday,14,,HARRISON AVE,42.33622726,-71.07353143,"(42.3362272597612, -71.0735314298093)"
5097,212066968,3820,,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,D4, ,0,9/18/21 11:34,2021,9,Saturday,11,,"ALBANY ST & MASSACHUSETTS AVE
BOSTON  MA 02118
UNI",42.33349998,-71.07351,"(42.3334999801716, -71.0735099961732)"
5186,212066840,423,,ASSAULT - AGGRAVATED,D4,171,0,9/17/21 20:43,2021,9,Friday,20,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)"
5200,212066821,3410,,TOWED MOTOR VEHICLE,D4,147,0,9/17/21 19:45,2021,9,Friday,19,,CLAREMONT PARK,42.34210486,-71.08118057,"(42.3421048634178, -71.081180565596)"
5205,212066815,3115,,INVESTIGATE PERSON,D4,156,0,9/17/21 18:55,2021,9,Friday,18,,MASSACHUSETTS AVE,42.33903373,-71.07997272,"(42.3390337336064, -71.0799727249646)"
5233,212066772,2905,,VAL - VIOLATION OF AUTO LAW,D4,156,0,9/17/21 17:18,2021,9,Friday,17,,TREMONT ST,42.33945339,-71.07992484,"(42.3394533925537, -71.0799248357064)"
5284,212066701,3115,,INVESTIGATE PERSON,D4,594,0,9/17/21 13:16,2021,9,Friday,13,,MASSACHUSETTS AVE,42.34186952,-71.0837219,"(42.3418695197559, -71.0837219015865)"
5330,212066643,3126,,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,D4, ,0,9/17/21 10:57,2021,9,Friday,10,,"MASSACHUSETTS AVE & ALBANY ST
BOSTON  MA 02118
UNI",42.333606,-71.07338005,"(42.333606002892, -71.0733800542936)"
5444,212066488,3115,,INVESTIGATE PERSON,D4,597,0,9/16/21 18:00,2021,9,Thursday,18,,NORTHAMPTON ST,42.33943469,-71.08179765,"(42.3394346887991, -71.0817976542529)"
5544,212066365,3001,,DEATH INVESTIGATION,D4,145,0,9/16/21 12:20,2021,9,Thursday,12,,MASSACHUSETTS AVE,42.34243945,-71.0844553,"(42.3424394483042, -71.0844552992046)"
5631,212066243,617,,LARCENY THEFT FROM BUILDING,D4,170,0,9/15/21 20:00,2021,9,Wednesday,20,,WASHINGTON ST,42.33721215,-71.07597603,"(42.3372121541099, -71.0759760325963)"
5780,212066049,3126,,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,D4,270,0,9/15/21 11:48,2021,9,Wednesday,11,,MASSACHUSETTS AVE,42.33421942,-71.07434616,"(42.3342194178955, -71.0743461570786)"
5786,212066040,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4,170,0,9/15/21 10:58,2021,9,Wednesday,10,,MASSACHUSETTS AVE,42.336955,-71.07747,"(42.3369550014342, -71.0774699961799)"
5827,212065992,423,,ASSAULT - AGGRAVATED,D4,594,0,9/15/21 8:50,2021,9,Wednesday,8,,MASSACHUSETTS AVE,42.34186952,-71.0837219,"(42.3418695197559, -71.0837219015865)"
5879,212065917,617,,LARCENY THEFT FROM BUILDING,D4,170,0,9/14/21 20:00,2021,9,Tuesday,20,,WASHINGTON ST,42.33721215,-71.07597603,"(42.3372121541099, -71.0759760325963)"
5915,212065862,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,597,0,9/14/21 19:08,2021,9,Tuesday,19,,NORTHAMPTON ST,42.33943469,-71.08179765,"(42.3394346887991, -71.0817976542529)"
5919,212065858,1402,,VANDALISM,D4,271,0,9/14/21 18:50,2021,9,Tuesday,18,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)"
5923,212065854,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,D4, ,0,9/14/21 18:26,2021,9,Tuesday,18,,E CONCORD ST,42.33572403,-71.07232651,"(42.3357240262334, -71.0723265061289)"
6046,212065690,801,,ASSAULT - SIMPLE,D4,171,0,9/14/21 5:44,2021,9,Tuesday,5,,HARRISON AVE,42.33555954,-71.07436364,"(42.3355595408121, -71.0743636377437)"
6064,212065664,3115,,INVESTIGATE PERSON,D4,171,0,9/14/21 2:35,2021,9,Tuesday,2,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)"
6078,212065640,3114,,INVESTIGATE PROPERTY,D4,155,0,9/13/21 22:01,2021,9,Monday,22,,W SPRINGFIELD ST,42.34041441,-71.08031699,"(42.3404144060798, -71.0803169945157)"
6117,212065591,423,,ASSAULT - AGGRAVATED,D4,171,0,9/13/21 19:33,2021,9,Monday,19,,HARRISON AVE,42.33555954,-71.07436364,"(42.3355595408121, -71.0743636377437)"
6173,212065511,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,169,0,9/13/21 16:30,2021,9,Monday,16,,E CONCORD ST,42.33572403,-71.07232651,"(42.3357240262334, -71.0723265061289)"
6210,212065463,3114,,INVESTIGATE PROPERTY,D4,594,0,9/13/21 14:10,2021,9,Monday,14,,MASSACHUSETTS AVE,42.34243945,-71.0844553,"(42.3424394483042, -71.0844552992046)"
6250,212065412,3201,,PROPERTY - LOST/ MISSING,D4,171,0,9/13/21 10:05,2021,9,Monday,10,,HARRISON AVE,42.33581733,-71.07404383,"(42.3358173309073, -71.0740438253707)"
6252,212065409,617,,LARCENY THEFT FROM BUILDING,D4,273,0,9/13/21 11:47,2021,9,Monday,11,,NORTHAMPTON ST,42.33856624,-71.0807442,"(42.3385662410618, -71.0807441975459)"
6257,212065403,613,,LARCENY SHOPLIFTING,D4,270,0,9/13/21 9:26,2021,9,Monday,9,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)"
6268,212065389,3006,,SICK/INJURED/MEDICAL - PERSON,D4, ,0,9/13/21 10:53,2021,9,Monday,10,,"MASSACHUSETTS AVE & ALBANY ST
BOSTON  MA 02118
UNI",42.333606,-71.07338005,"(42.333606002892, -71.0733800542936)"
6340,212065291,2403,,DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PAR,D4, ,0,9/12/21 13:45,2021,9,Sunday,13,,"COLUMBUS AVE & MASSACHUSETTS AVE
BOSTON  MA 02118
",42.34064797,-71.08174797,"(42.340647968512, -71.0817479739454)"
6396,212065220,1832,,SICK ASSIST - DRUG RELATED ILLNESS,D4, ,0,9/12/21 17:04,2021,9,Sunday,17,,"WASHINGTON ST & MASSACHUSETTS AVE
BOSTON  MA 02118",42.33648997,-71.07705001,"(42.3364899718332, -71.0770500090912)"
6435,212065171,3114,,INVESTIGATE PROPERTY,D4,172,0,9/12/21 11:34,2021,9,Sunday,11,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)"
6480,212065108,1300,,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,D4,170,0,9/12/21 5:57,2021,9,Sunday,5,,E SPRINGFIELD ST,42.33602919,-71.07517847,"(42.3360291944093, -71.0751784731697)"
6495,212065092,3830,,M/V - LEAVING SCENE - PERSONAL INJURY,D4,156,0,9/12/21 3:48,2021,9,Sunday,3,,MASSACHUSETTS AVE,42.33760719,-71.0782582,"(42.3376071908456, -71.0782582009363)"
6508,212065073,3115,,INVESTIGATE PERSON,D4,147,0,9/11/21 23:52,2021,9,Saturday,23,,COLUMBUS AVE,42.3413865,-71.0808255,"(42.3413865007645, -71.0808255014242)"
6512,212065069,3410,,TOWED MOTOR VEHICLE,D4,273,0,9/12/21 1:10,2021,9,Sunday,1,,NORTHAMPTON ST,42.33856624,-71.0807442,"(42.3385662410618, -71.0807441975459)"
6611,212064934,801,,ASSAULT - SIMPLE,D4,171,0,9/11/21 16:36,2021,9,Saturday,16,,HARRISON AVE,42.33555954,-71.07436364,"(42.3355595408121, -71.0743636377437)"
6695,212064820,3410,,TOWED MOTOR VEHICLE,D4,156,0,9/11/21 7:06,2021,9,Saturday,7,,MASSACHUSETTS AVE,42.33828866,-71.07908476,"(42.3382886564083, -71.0790847633429)"
6773,212064709,3005,,SICK ASSIST,D4, ,0,9/10/21 20:32,2021,9,Friday,20,,ALBANY ST,42.33318449,-71.07393881,"(42.333184490912, -71.0739388100238)"
6956,212064479,1415,,GRAFFITI,D4,156,0,9/10/21 7:20,2021,9,Friday,7,,W SPRINGFIELD ST,42.33795319,-71.0774931,"(42.337953188461, -71.077493096854)"
6962,212064473,3114,,INVESTIGATE PROPERTY,D4,594,0,9/10/21 6:00,2021,9,Friday,6,,SAINT BOTOLPH ST,42.3414751,-71.08495034,"(42.3414751010219, -71.084950340075)"
6979,212064450,3115,,INVESTIGATE PERSON,D4,271,0,9/9/21 23:40,2021,9,Thursday,23,,WASHINGTON ST,42.3353741,-71.0783156,"(42.3353740984913, -71.0783156023399)"
7004,212064412,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4, ,0,9/9/21 19:14,2021,9,Thursday,19,,"MASSACHUSETTS AVE & ALBANY ST
BOSTON  MA 02118
UNI",42.333606,-71.07338005,"(42.333606002892, -71.0733800542936)"
